Abi
Abla
Acaba
Burun	Nose
Bütün	All, entire
Büyük	Big
Büyümek	To grow (bigger)
Çabuk	Quick
Cadde	Street
Çağırmak	To invite, to call
Çalışmak	To work
Çalmak	To steal, to play (an instrument)
Cam	Glasses
Çamaşır	Laundry
Cami	Mosque
Can	Life, soul
Canlı	Alive, live broadcast
Çanta	Bag (backpack, purse)
Çarpmak	To crash
Çarşamba	Wednesday
Çatal	Fork
Tea
Çaydanlık	Teapot
Çekmek	To pull
Çeşit	Type, variety
Cevap vermek	To answer
Çevirmek	To flip, to translate something
Çevre	Environment
Çeyrek	Quarter (25%)
Ceza	Punishment
Çiçek	Flower
Ciddi	Serious
Çift	Double
Çiftçi	Farmer
Cihaz	Electronic device
Çıkarmak	To take off, to remove
Çıkmak	To leave, climb
Çirkin	Ugly
Çizgi	Line, drawing
Çocuk	Child
Çok	Very, many
Çorap	Sock
Çözmek	To solve, to untie
Çözüm	Resolution
Cuma	Friday
Cumartesi	Saturday
Cümle	Sentence
Çünkü	Because
Mountain
 az	Less
Daha çok	More
Daire	Apartment, circle
Dakika	Minute
Damla	Drop (of liquid)
Dans etmek	To dance
Davet etmek	To invite
anış	behavior
Davranmak	To behave (in a certain way)
Dayanmak	To endure
Defter	Notebook
Değer	Value
l	Not
Değişmek	(For something) to change
ştirmek	To change (something)
Delik	Hole
Demek	To say, it means...
Denemek	To try
Denge	Balance
Deniz	Sea
Deprem	Earthquake
Derece	Degrees (temperature)
Deri	Skin
Derin	Deep
Ders	Class
Destek	Support
m etmek	To continue
Devlet	Government
Diğer	The other (one)
Dik	Steep
Dikkat etmek	To be careful
Dil	Tongue (or language)
Religion
Dinlemek	To listen
enmek	To rest
lmek	To be resurrected
Diş	Tooth
Diz	Knee
Doğal	Natural
Doğal gaz	Natural Gas
Doğmak	To be born
Doğru	Right
	East
Doksan	Ninety
Doktor	Doctor
Dokuz	Nine
Dolap	Cabinet
Dolaşmak	To wander
Doldurmak	To fill
Dolu	Full
Dondurma	Ice cream
Dönem	Period (of time)
Döner	Shaved Meat
Dönmek	To turn
Dört	Four
Dost	Best friend
Dosya	Folder
Döviz	Foreign currency (esp. Dollars, Euro)
Düğün	Wedding celebration
Dükkan	Shop
Duman	Smoke
Dün	Yesterday
Dünya	Earth, world
Durmak	To stop
Durum	Situation
m	Sandwich wrap
Duş almak	To take a shower
Düşmek	To fall
nce	Thought
Düşünmek	To think
Duvar	Wall
Duygu	Emotion, sense
Duymak	To hear, to sense
Düz	Straight
Düzeltmek	To correct
Düzenlemek	To organize
Eğitim	Education
Ek	Addition, suffix
Ekim	October
Eklemek	To add (common speech)
Ekmek	Bread
Ekonomi	Economy
Eksik	Missing
El	Hand
Elbette	Certainly
Eldiven	Glove
Elektrik	Electricity, electric
Eleman	Worker
Elli	Fifty
Elma	Apple
Emekli	Retired
Emin	Certain
Emlakçı	Realtor
En	Most (or width)
Enerji	Energy
asyon	Inflation
Engel	Barrier
Engelli	Disabled
Erimek	To melt
Erkek	Boy (or male)
Erken	Early
Eş	Spouse, companion
Eşit	Equal
	Old
Eskiden	In the past
Eşya	Furnishings, stuff
Et	Meat, flesh
Etki	Effect
Etkilemek	To affect
Etmek	To do
Ev	Home
Ev sahibi	Home owner
Evet	Yes
Evlenmek	To marry
	Married
Eylül	September
ika	Factory
Fakat	But
r	Poor
Falan filan	Etc
Fare	Mouse (animal or for computer)
Fark	Difference
Fark etmek	To notice
Farketmez	It doesn't matter
Farklı	Different
Fazla	Too much
Fikir	Idea
Film	Movie (film)
Fincan	(Tea or turkish coffee) cup
Fırsat	Opportunity
Fiş	Receipt, electrical plug
t	Price
Fotoğraf	Photograph
Galiba	Probably
t	Really, quite
Gaz	Gas (but not gasoline)
Gazete	Newspaper (gazette)
Geç	Late
Geç kalmak	To be late
Gece	Night
Geçen	Last (week, month, year), one that passes
ci	Temporary
Geçmek	To pass
Geçmiş	Past
Gelecek	Next, future
Gelenek	Tradition
Gelir	Income
Gelmek	To come
Genç	Young (person)
Gene	Again
Genel	General
Genellikle	Generally
ş	Wide (or loose fitting)
Gerçek	True, truth
Gerçekten	Really
kli	Needed
Gerekmek	To be needed
Geri gelmek	To come back
Geri vermek	To give back
Getirmek	To bring
Gezmek	To explore
Gibi	Like, similar to
	Food (market)
ş	Entrance
Girmek	To enter
Gitmek	To go
ek	To put on (clothing)
i	Outfit (clothing)
i	Secret (private)
Göbek	Stomach, belly, center
Göçmen	Refugee
Gök	Sky (or heaven)
Lake
Göndermek	To send
Gönül	Heart, soul
Görev	Duty
Görmek	To see
Görünmek	To appear
Görüşmek	To talk with, to meet with
Göstermek	To show
Götürmek	To take something somewhere
Göz	Eye
Gözlük	Glasses
Gri	Grey
Grip	Flu
Grup	Group
Güç	Strength
Güçlü	Strong
Güle güle	Bye
Gülmek	To laugh (or smile)
Gülümsemek	To smile
Gümüş	Silver
Gün	Day
Günah	Sin
Güneş	Sun
Güney	South
Güven	Trust
nlik	Security
Güvenmek	To trust
Güzel	Good, pretty
Haber	News
	Hurry, let's go
Hafif	Light (weight)
Hafta	Week
Hafta sonu	Weekend
m	Judge
Haklı	Right (justified in saying something)
Hal	State, status
	Still
Halı	Carpet
Halk	People (people group)
Hamburger	Hamburger
i	Which
m	Mrs.
Hapishane	Jail
Harcamak	To spend
Hareket	Activity
ka	Wonderful
ta	Map
Hasta	Sick
Hastane	Hospital
Hata	Mistake, imperfection
Hatırlamak	To remember
Hava	Air
alanı	Airport
Havlu	Towel
Havuz	Pool
Hayal etmek	To dream, imagine
Hayat	Life
Hayır	No
Hayvan	Animal
anat bahçesi	Zoo
Hazır	Ready
ran	June
Hedef	Target, goal
ye	Gift
Hemen	Right now
Henüz	Not yet
Hep	All
i	All (of a group)
Her	Every
Her gün	Every day
Her şey	Everything
Her zaman	All the time
Herhalde	Probably
Herhangi	Whichever
Herkes	Everyone
Hesap	Account
p makinası	Calculator
Heyecanlanmak	To be excited
Heyecanlı	Excited
ir	None
ye	Story
Hırdavatçı	Hardware store
Hissetmek	To feel (emotion)
Hızlı	Fast
Hizmet etmek	To serve
Hoca	Teacher
Hoş	Nice
İbadet	Worship
İçecek	Drink
İçmek	To drink
İğne	Needle (or syringe)
İhtiyaç	Need (basic need)
İki	Two
İkram etmek	To treat, to give something for free
İl	Province
	Medicine
	District (section of a province)
	Interest
İlginç	Interesting (or strange)
ki	Relationship
First
ahar	Spring
nsiz	Impossible
	Signature
ç	Faith
İnanmak	To believe
İnce	Thin
rim	Discount
İnek	Cow
lizce	English (language)
İnmek	To get off
İnşaat	Construction
n	Person
rnet	Internet
Thread
İptal etmek	To cancel
İş	Work (profession)
İşçi	Worker
	Light
	Name
Islak	Wet
m	Process
İstemek	To want
İyi	Good
İzin	Permission, permit
İzin vermek	To give permission
İzlemek	To watch, to follow
Kaba	Rude
o	Cable
Kabul etmek	To accept
How many
Kaçmak	To escape
r	Quantity
n	Woman
	Head
Kâğıt	Paper
aman	Hero
altı	Breakfast
Kahve	Coffee
Kahverengi	Brown
Kalabalık	Crowded (or crowd)
Kaldırmak	To remove
m	Pen (or other writing utensil)
Kalıcı	Permanent
Kalın	Thick
te	Quality
Kalkmak	To rise
Kalmak	To stay
	Heart
Blood
l	Canal, channel
pe	Couch
n	Law
k	Cover
Kapatmak	To close (something)
Kapı	Door
Karanlık	Darkness
Karar vermek	To decide
eş	Sibling
	Wife
Karın	Stomach
Karıştırmak	To mix
ı	Opposite side, against
	Card
	Checkout
ba	Town
k	Spoon
m	November
Floor (layer)
Katılmak	To join, to agree
ak	Roundabout
Kaya	Boulder
Kaybetmek	To lose
t	Record
Kaymak	To slide, skate (or whipped cream)
ak	Source
	Crash, accident
Kazanmak	To win
b	Kabob
Keçi	Goat
Kedi	Cat
me	Word
r	Edge
	City
Kesilmek	To be cut, to be turned off
n	Certain
nlikle	Certainly
Kesmek	To cut
Kibar	Polite
ç	Sword
m	Carpet, floor mat
Kilitlemek	To lock
Kılmak	To do, to make, to perform
	Kilogram
metre	Kilometer
Who
ik	Identity
	Forty
i	Dirty
Kırmızı	Red
Winter
Kısa	Short
	Person
m	Part
p	Book
Kız	Girl
çocuk	Girl, daughter
kardeş	Sister
Kızarmak	To fry, to turn red
Kızgın	Angry, hot
	Husband (or huge)
	Smell
Arm
Kol saati	Wrist watch
Kolay	Easy
Koltuk	Couch (or armchair)
i	Natural gas water heater
k	Funny
Kontrol etmek	To check
	Topic
Konuşmak	To talk
Köpek	Dog
Kör	Blind
	Curry
dor	Aisle
Korkmak	To be afraid
Korumak	To protect
	Corner
Koşmak	To run
Kötü	Bad
lük	Evil
Village
Koymak	To put
Koyu	Dark, intense
Koyun	Sheep
	King
i	Credit (loan)
	Crisis
Küçük	Small
k	Ear
Kullanmak	To use
ür	Culture
Sand
nda	Remote control
biye	Cookie
l	Rule
ağa	Frog
Kurban etmek	To sacrifice (an animal)
Kurmak	To build (a building), to establish (an organization)
	Wolf
Kurtarmak	To save, to rescue
Kurtulmak	To be saved, rescued
Kuru	Dry
Kuş	Bird
ra bakma	I'm sorry (informal apology)
Kusursuz	Flawless, perfect
Kutlamak	To celebrate
	Box
y	North
Word, empty words
ik	Tire
Lavabo	Bathroom, bathroom sink
m	Needed
Lezzetli	Flavorful, good tasting
r	Leader
Limon	Lemon
	Lira (Turkish unit of money)
	High school
Lüks	Luxurious
en	Please
Sports match
e	Material
za	Store
lle	Neighborhood (part of an ilçe)
ne	Machine
Goods, property
eme	Ingredient, material
ık	Logic
ara	Scenery
a	Brand
	March
Masa	Table
Mavi	Blue
	Yeast
s	May
is	Parliament
a	Media
up	Letter (mail)
eket	Homeland
Merak etmek	To worry, to be curious
iven	Stairs, ladder
aba	Hello
ez	Center
fe	Distance
j	Message (usually text message)
la	For example
le	Issue, matter
ek	Profession
l	Metal
e	Meter (or tape measure)
e kare	Square meters
an	City square, commons
e	Fruit
	Stomach
ar	Amount
et	People, nation
ar	Billion
on	Million
s	Inheritance
fir	Guest
Mısır	Corn, Egypt
Purple
r	Manager
Candle
ün	Possible
it	Available
eri	Customer
Mutfak	Kitchen
aka	Absolutely
u	Happy
Mutsuz	Unhappy
k	Music
t	Cash
l	How
Ne	What
n	Why
s almak	To breathe
r	River
de	Where
deyse	Almost
Net	Clear, plain
e	Anyway
n	April
nlı	Engaged
	Why (informal)
tçi	Open during late hours (ER, eczane, etc)
a	Point (or period)
Normal	Normal
alde	Normally
ra	Number
Öbür	The other (one)
	January (or stove)
Room
Ödemek	To pay (money)
Odun	Log
Öğrenci	Student
Öğretmek	To teach
Öğretmen	Teacher
	Son
	School
Okumak	To read, study
nus	Ocean
	Event
kça	Really
Öldürmek	To kill
Olmak	To be, to become
Ölmek	To die
	Death
	Okay
On	Ten
Onaylamak	To condone, accept
	Before
li	Important
n	Forest
ğin	For example
Örnek	Example
Orta	Middle, center
Ortak	Shared
Örümcek	Spider
Feed (for an animal)
	Hotel
Otobüs	Bus
obil	Automobile
Oturmak	To sit
	Thirty
	Story
	That way, like that
Oynamak	To play
Oyun	Game
cak	Toy
Özel	Special
likle	Especially
Özgür	Free (not enslaved)
Özlemek	To miss (someone)
 dilerim	I'm sorry (for a wrong I've done)
Pahalı	Expensive
k	Cotton
olon	Pants
	Money
a	Part
Parmak	Finger
i	Party
ane	Bakery
Patlamak	To explode, to pop
Patlıcan	Eggplant
on	Employer, boss
Paylaşmak	To share
r	Sunday (or bazaar)
rtesi	Monday
Very
	Well
Pembe	Pink
Pencere	Window
Perde	Curtains
embe	Thursday
n	Paid up front (not in installments)
an	Regretful
	Plan
s	Police officer
Portakal	Orange
lem	Problem
ram	Schedule, computer program
e	Project
	Point (in a game)
Rahat	Comfortable
Reddetmek	To refuse
am	Advertisement
	Color
m	Picture
Spirit
	Dream
âr	Wind
Saat	Time, hour
Sabah	Morning
Sabırlı	Patient
Sabun	Soap
Hair
Sade	Plain, unsweetened
ce	Only
amak	To provide
ık	health
l	Thanks
Sahip	Owner
n	Calm
Saklamak	To store, to hide (something)
talık	Cucumber
	Tuesday
Salon	Living room
Sanat	Art
Sandalye	Chair
ye	Second
i	As if
Sanmak	To think, suppose
	Chance
a	Hat
Sarı	Yellow
	Charge (for a phone or other device)
ı	Song
	Condition, need
Satın almak	To purchase
Satmak	To sell
ş	War
a	Page
ı	Respect
	Number
p	Reason, cause
e	Vegetable
m	Choice, election
Seçmek	To choose
Şehir	City
a	Coffee table
r	Sugar
l	Shape
z	Eight
an	Eighty
	Year
Sepet	Basket
Serbest	Free (independent)
Sert	Hard, harsh
is	Shuttle, place setting
Sound
kaydı yapmak	To record (sound)
i	Love
Sevinmek	To rejoice, to be happy
Sevmek	To love
Thing
Seyretmek	To watch
Sıcak	Warm, friendly
e	Password
ra	Cigarette
rta	Insurance
	Poem
Şikayet etmek	To complain
Sıkılmak	To be bored with
ntı	Trouble
h	Weapon
Silmek	To erase
i	Now
v	Exam
Sinek	Fly (or other similar bug)
f	Class
r	Border, limit
Sinirlenmek	To be angry
Sipariş vermek	To place an order
	Turn, queue
e	Vinegar
et	Company
	Back
	Bottle
em	System
Sıvı	Liquid
Siyah	Black
Siyaset	Politics
Soğuk	Cold
Sohbet etmek	To chat
k	Street, side road
Sokmak	To insert, to sting
Sol	Left
Last
ahar	Fall
a	After
Sonsuz	Forever
ç	Result
Sormak	To ask
	Question
n	Problem
Sauce
Sosyal	Social
	Saute
Söylemek	To say
Word, promise
 yapmak	To exercise
Su	Water
t	February
Crime, fault
Sunmak	To offer, present
e	Suspicion, doubt
	Duration
kli	Continuously
Sürmek	To spread, to drive
riz	Surprise
Sürücü	Driver
Susamak	To be thirsty
Milk
k	Plate
i	Of course
in etmek	To predict
a	Wood
m	Team
Takip etmek	To follow
Takmak	To hang up, to attach
it	Payment in installments
p	Request
Exact, whole
m	Okay, finished
r etmek	To repair
	Piece, unit
Tanımak	To know (person)
Tanışmak	To meet (for the first time)
f	Side
Tarih	Date, history
Tartışmak	To argue
	Style
Stone
Taşımak	To carry, to move
l	Vacation
Tatlı	Sweet, dessert
n	Ceiling
Tavşan	Rabbit
Tavsiye etmek	To recommend
Taze	Fresh
Tebrik etmek	To congratulate
vi	Therapy
ike	Danger
Single, only
ik	Technical, tecnique
oloji	Technology
ar	Again
fon	Telephone
Televizyon	Television
el	Lazy
l	Foundation
Temiz	Clean
Temizlemek	To clean (something)
uz	July
ere	Pot
Tepe	Hill
i	Reaction
i	Tray
Sweat
ih etmek	To prefer
ik	Slippers
Ters	Backwards
e	Aunt (Mother's sister)
Type
Ball
am	Total
Toplamak	To gather (or add numbers)
antı	Meeting
um	Society
Toprak	Dirt
Dust (or powder)
ik	Traffic
	Train
All, entire
Type
çe	Turkish
Turuncu	Orange (the color, not the fruit)
Tutmak	To catch, to hold
Tuvalet	Toilet
Tuz	Salt
Uç	Point
Üç	Three
PlayUçak	Airplane
Uçmak	To fly
Ücret	Price (or salary)
Üçüncü	Third
Ucuz	Cheap
PlayUfak	Tiny
PlayUğraşmak	To struggle
PlayUlaşmak	To arrive
Ülke	Country
PlayUluslararası	International
Ummak	To hope
Üniversite	University
PlayÜnlü	Famous
PlayUnutmak	To forget
Ürün	Product
Usta	Expert, craftsman
PlayÜşümek	To be cold
PlayUtanmak	To be shy
PlayUyanık	Awake
Üye	Member
PlayUygulamak	To apply
PlayUygun	Available
PlayUymak	To obey, to fit
PlayUyumak	To sleep
PlayUzak	Far
PlayUzanmak	To lie down
PlayUzatmak	To extend
PlayÜzgün	Sad
Uzman	Expert
PlayÜzüm	Grapes
PlayUzun	Long, tall
PlayVakit	Time
PlayVarmak	To arrive
Vatandaş	Citizen
PlayVazgeçmek	To change one's mind
Ve	And
Vergi	Tax
PlayVermek	To give
Veya	Or
Vücut	Body
PlayVurmak	To hit
WC	Bathroom (water closet)
Ya da	Or
PlayYabancı	Foreigner
Yağ	Oil, fat
Yağmur	Rain
Yakalamak	To catch
PlayYakın	Near
Yaklaşık	Approximately
PlayYaklaşmak	To get closer
PlayYakmak	To light (a fire, stove)
PlayYalnız	Alone
Yani	In other words
Yanıt	Answer
PlayYanlış	Wrong
PlayYanmak	To burn
Yapı	Structure
PlayYapmak	To do
PlayYaprak	Leaf
Yara	Injury
PlayYaratmak	To create
PlayYardım etmek	To help
PlayYarım	Half
Yaş	Age
Yasa	Law
Yaşam	Life
PlayYaşamak	To live
PlayYaşlı	Old (person)
PlayYatak	Bed
PlayYatmak	To lie down
PlayYavaş	Slow
PlayYaygın	Common, widespread
Yaz	Summer
Yazar	Author
PlayYazmak	To write
Yedek	Extra
Yedi	Seven
PlayYemek	To Eat
Yeni	New
PlayYer	Place, floor
PlayYeşil	Green
Yetenek	Skill
Yeterli	Enough
Yetmiş	Seventy
Yıl	Year
PlayYılan	Snake
Yıldız	Star
Yine	Again
Yirmi	Twenty
Yiyecek	Food
Yoğun	Thick, busy
Yoğurt	Yogurt
Yoksa	Or
Yol	Road, path
Yön	Direction
Yönetici	Manager
PlayYönetmek	To lead
Yöntem	Method
PlayYorulmak	To be exhausted
Yorum	Comment
PlayYüksek	High
Yumurta	Egg
PlayYumuşak	Soft
PlayYurt dışı	Outside the country
Yurtiçi	Domestic (inside the country)
PlayYürümek	To walk
PlayYuvarlak	Round
Yüz	Face, 100
Yüzde	Percent
Yüzyıl	Century
Zafer	Victory
PlayZaman	Time
Zarar	Damage
Zarf	Envelope, adverb
Zaten	Anyway, already
PlayZayıf	Thin, weak
Zehir	Poison
Zeki	Intelligent
Zemin	Ground (floor)
Zengin	Rich
Zevk	Pleasure
Zeytin	Olive
Zil	Doorbell
PlayZor	Difficult
